RegionCode,log_pop,log_cgdpe
PRY,0.7989117779901118,0.6701325232720563
QAT,0.29049183274085355,1.4764822362205907
ROU,1.3073455457617396,1.5597994963206472
RUS,2.1561370493903667,2.547366085707865
RWA,1.021853522812326,0.17731094144111245
SAU,1.450834240613677,2.1689427458675543
SDN,1.5461391821355912,1.169897143862848
SEN,1.123881354706636,0.5555879852138719
SGP,0.7139956779035032,1.5722393685892795
SLE,0.8203126109655123,-0.11602992939447106
SLV,0.7918702369179575,0.5952774349706665
SRB,0.8595296983062009,0.9683373566978551
STP,-0.7476324813126379,-1.274249882579968
SUR,-0.2744240375421389,-0.10777752893817405
SVK,0.7331849652217247,1.152528984271894
SVN,0.3124811802716245,0.777518149891118
SWE,0.9761615376984125,1.6161293385690116
SWZ,0.08822754423383107,-0.051971439750662915
